Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),RABI SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),FINGER MILLET YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),SAFFLOWER YIELD (Kg per ha),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),CASTOR YIELD (Kg per ha),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),LINSEED YIELD (Kg per ha),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUNFLOWER YIELD (Kg per ha),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),SOYABEAN YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha)
1,1966,14,Chhattisgarh,Durg,548,185,337.59,44,20,454.55,0.6,0.4,666.67,0,0,0,0.6,0.4,666.67,0,0,0,3,2,666.67,0.8,0.2,250,0.1,0,0,54,27,500,37,15,405.41,114.96,-1,-1,0.2,0.1,500,3,0.3,100,1,0.2,200,0.07,0,0,0.7,0.2,285.71,45.7,6.8,148.8,0,0,0,0,0,0,50.7,-1,-1,0.9,1.6,1777.78,0,0,0
1,1967,14,Chhattisgarh,Durg,547,409,747.71,50,26,520,1.1,0.9,818.18,0,0,0,1.1,0.9,818.18,0,0,0,3,3,1000,0.9,0.2,222.22,0.2,0.1,500,52,15,288.46,36,26,722.22,269.54,-1,-1,0.1,0.1,1000,11.6,0.9,77.59,1.1,0.3,272.73,0.01,0,0,0.5,0.1,200,100.1,25.8,257.74,0,0,0,0,0,0,113.55,-1,-1,0.8,1.2,1500,0,0,0
1,1968,14,Chhattisgarh,Durg,556.3,468,841.27,53.7,30,558.66,0.5,0.4,800,0,0,0,0.5,0.4,800,0,0,0,2.8,2,714.29,0.8,0.2,250,0.2,0.1,500,51.3,23,448.34,35.7,28,784.31,289.46,-1,-1,0.1,0.1,1000,11.3,1.6,141.59,1.2,0.5,416.67,0.02,0,0,0.6,0.3,500,113.3,23.8,210.06,0,0,0,0,0,0,126.62,-1,-1,1,1,1000,0,0,0
1,1969,14,Chhattisgarh,Durg,563.4,400.8,711.4,49.4,26.5,536.44,0.8,0.6,750,0,0,0,0.8,0.6,750,0,0,0,2.7,2.3,851.85,0.8,0.2,250,0.2,0.1,500,52.6,23.1,439.16,35.7,27.3,764.71,298.18,98.3,329.67,0.1,0.1,1000,11.4,1.4,122.81,1.2,0.4,333.33,0.02,0,0,0.5,0.1,200,101.1,13,128.59,0,0,0,0,0,0,114.14,14.9,130.54,1,1.9,1900,0,0,0
1,1970,14,Chhattisgarh,Durg,571.6,473.6,828.55,44.2,29,656.11,0.9,0.6,666.67,0,0,0,0.9,0.6,666.67,0,0,0,2.5,3.3,1320,0.8,0.2,250,0.1,0.1,1000,53.3,32.6,611.63,33.3,35.2,1057.06,342.8,142.9,416.86,0.1,0.1,1000,10.8,1.1,101.85,1.1,0.4,363.64,0.02,0,0,0.4,0.1,250,114.1,22.7,198.95,0,0,0,0,0,0,126.4,24.3,192.25,0.7,1.4,2000,0,0,0
1,1971,14,Chhattisgarh,Durg,581.8,412.9,709.69,44.4,25.8,581.08,0.3,0.2,666.67,0,0,0,0.3,0.2,666.67,0,0,0,2.7,3.1,1148.15,0.9,0.2,222.22,0.2,0.1,500,50.3,32.8,652.09,33.9,34.6,1020.65,351.5,154.9,440.68,0.1,0,0,10.8,1,92.59,1.1,0.4,363.64,0.07,0,0,0.3,0.1,333.33,111.7,18.5,165.62,0,0,0,0,0,0,124.2,20.2,162.64,0.5,1,2000,0,0,0
1,1972,14,Chhattisgarh,Durg,582.2,381,654.41,39.6,20.6,520.2,0.3,0.3,1000,0,0,0,0.3,0.3,1000,0,0,0,2.8,3.2,1142.86,0.8,0.1,125,0.1,0.1,1000,52.3,32.6,623.33,32.8,42.4,1292.68,331.8,100.6,303.19,0.1,0,0,10.4,1.9,182.69,1.2,0.7,583.33,0,0,0,0.3,0.1,333.33,111.7,22.7,203.22,0,0,0,0,0,0,123.8,25.4,205.17,0.5,1,2000,0,0,0
1,1973,14,Chhattisgarh,Durg,600,471.9,786.5,37.3,18.6,498.66,0.2,0.2,1000,0,0,0,0.2,0.2,1000,0,0,0,2.9,2.7,931.03,0.8,0.2,250,0.1,0.1,1000,56.4,32.4,574.47,32.2,22.8,708.07,352.6,106.4,301.76,0.1,0,0,9.6,1.3,135.42,1.2,0.7,583.33,0,0,0,0.2,0.1,500,118.8,28,235.69,0,0,0,0,0,0,130.2,30.3,232.72,0.2,1.2,6000,0,0,0
1,1974,14,Chhattisgarh,Durg,587.4,219,372.83,36.5,22.4,613.7,0.5,0.4,800,0,0,0,0.5,0.4,800,0,0,0,2.9,2.9,1000,0.8,0.3,375,0.2,0.1,500,54.9,41,746.81,32.5,37.6,1156.92,153.1,61.3,400.39,0,0,0,9.9,1.4,141.41,1.4,0.8,571.43,0,0,0,0.2,0.1,500,85,21.4,251.76,0,0,0,0,0,0,96.8,23.9,246.9,0.8,1.5,1875,0,0,0
1,1975,14,Chhattisgarh,Durg,598.3,454,758.82,49.2,27.8,565.04,0.2,0.2,1000,0,0,0,0.2,0.2,1000,0,0,0,2.9,2.9,1000,0.8,0.2,250,0.2,0.2,1000,58.3,30.2,518.01,34.2,26.7,780.7,320.2,121.2,378.51,0,0,0,8.6,0.9,104.65,1.6,0.9,562.5,0.1,0,0,0.2,0.1,500,120.7,28.7,237.78,0,0,0,0,0,0,131.5,30.8,234.22,0.8,1.4,1750,0,0,0
